,Space,Score,p-values
0,comp_bed_9,0.18936804772425572,0.6634431070958051
1,mat_dep,16.462455003589504,4.962309358126677e-05
2,mat_age,11.518848139700838,0.0006889406562903703
3,weight_16,850.4811109044197,5.714416059908293e-187
4,height_16,251.4110537266167,1.2788530318758435e-56
5,iq,1906.7088464996448,0.0
6,comp_noint_bed_16,4.525859934205107,0.03338629293143256
7,comp_int_bed_16,0.16072382032802557,0.6884909856200999
8,talk_phon_wend,58.72827933389391,1.810209194241826e-14
9,text_wend,155.8825611176403,8.981120607857212e-36
10,talk_mob_wend,91.42634927399287,1.1582386356122242e-21
11,comp_wend,197.63443801169365,6.855915911500675e-45
12,musi_wend,55.34633053865708,1.0105834556419408e-13
13,read_wend,93.40062227449616,4.271164394722802e-22
14,work_wend,26.34887519186305,2.849848287442532e-07
15,alon_wend,29.506529218307804,5.572864796081004e-08
16,draw_wend,86.18530324152285,1.6384077679299468e-20
17,play_wend,54.61468427258617,1.4663586082252298e-13
18,tv_wend,185.42707099806555,3.166396266039038e-42
19,out_win_wend,15.634851013008449,7.682554295592498e-05
20,out_sum_wend,60.38879404057828,7.785493411650486e-15
21,tran_wend,4.786857229354003,0.028677706188463478
22,talk_phon_week,55.20528514261048,1.0857640241656876e-13
23,text_week,138.75470661236616,4.983552423896813e-32
24,talk_mob_week,86.0843707085541,1.7242017440240222e-20
25,comp_week,161.39860915169893,5.598570310974655e-37
26,musi_week,50.17974419734917,1.4028847240229893e-12
27,read_week,84.36653361987102,4.1104706122543126e-20
28,work_week,28.15826785232876,1.1178910652811224e-07
29,alon_week,30.35641358162748,3.5951629612694004e-08
30,draw_week,79.80631712896707,4.129702600055304e-19
31,play_week,74.07489556792615,7.520873055156867e-18
32,tv_week,150.00582243174765,1.7285704604559813e-34
33,out_win_week,8.774620467725965,0.0030545070800100486
34,out_sum_week,37.837970900090085,7.687091227679731e-10
35,tran_week,3.2609468558592387,0.07094814839494391
36,pat_pres_10,35.40430167116782,2.6789456839372465e-09
37,pat_pres_8,37.31706785492055,1.004020510029094e-09
38,pat_pres,15.691520416739836,7.45576755542791e-05
39,num_home,27.80133630069607,1.3443322617517996e-07
40,mat_anx_1,0.16774502676277495,0.6821236988706458
41,mat_anx_18m,0.2429442544787638,0.6220876595785456
42,mat_anx_8m,2.7345346579781937,0.09820010193721052
43,agg_score,6.665970113191446,0.009827114663458932
44,emot_cruel,0.46121706807019547,0.497055723491725
45,phys_cruel,0.37217683496901804,0.5418200910622561
46,mat_anx_0m,2.11754246016665,0.14562004223126235
47,pat_ses,0.009345796923118264,0.9229855565240707
48,mat_ses,0.5064886895613173,0.4766628389404073
49,pat_edu,7.822028904270528,0.005161322250869414
50,mat_edu,7.113616699907874,0.007650061161261937
51,parity,3.4039096513421505,0.06504208606067398
52,dep_band_15,54.58627371644786,1.4877112687394847e-13
53,dep_band_13,1.6777675371219036,0.19522135859418815
54,dep_band_10,4.784203794212373,0.028721923140227857
55,dep_band_07,0.10276384689184806,0.7485377859821547
56,anx_band_15,123.89014427652857,8.903920287999502e-29
57,anx_band_13,49.8247933711277,1.681062212115842e-12
58,anx_band_10,26.734208622292122,2.334517557683208e-07
59,anx_band_07,18.722503118726816,1.5118772357436101e-05
60,exercise,266.7678736710851,5.745827069401778e-60
61,child_bull,27.194216697707652,1.8400827578859636e-07
62,phone_14_wend,90.14360212745615,2.2148643790155953e-21
63,phone_14_week,80.97765983127766,2.2828385047757616e-19
64,musi_13,39.2576291666736,3.714142908891618e-10
65,tv_bed_9,4.95168051993485,0.026065319938571842
66,own_mob,7.029070265794283,0.008019697866177653
67,secd_diag,41857.13803279713,0.0
68,prim_diag,101592.11596848989,0.0
69,panic_score,2571.5551930710026,0.0
70,dep_thoughts,15030.889032122599,0.0
71,dep_score,16605.853568925508,0.0
72,comp_house,14.304259415684802,0.00015551259557698292
73,tv_bed_16,39.124901187884646,3.9754112080345943e-10
74,creat_14,7.783827340345947,0.005271599700004403
75,comp_games,4.873695374761702,0.02726904654851286
76,fam_tv_eve,7.950464416547233,0.00480750381969504
77,fam_tv_aft,0.5407591341217672,0.46211828685713285
78,fam_tv_mor,0.8228279517186985,0.3643546345798444
79,sex,20.49090218412455,5.99153624905466e-06
80,birth_order,1.9335070766730262,0.16437526326874954
